Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (BRL),Competitive Density,SERP Features,Number of Results
vitamina para aumentar a imunidade,Informational,5400,"1.00,0.82,0.82,0.67,1.00,0.82,0.82,1.00,0.55,0.55,0.55,0.44",21,0.75,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",9340000
vitamina para imunidade,Informational,5400,"1.00,0.67,1.00,0.81,0.81,0.81,0.67,0.67,0.54,0.44,0.44,0.44",21,0.75,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10200000
vitaminas para aumentar a imunidade,Informational,3600,"0.53,0.53,0.81,1.00,0.53,0.81,0.53,0.53,0.44,0.35,0.44,0.44",17,0.75,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",8510000
vitaminas para imunidade,Informational,3600,"0.54,0.81,0.67,1.00,0.81,0.81,0.67,0.54,0.81,0.35,0.54,0.30",21,0.75,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",10100000
vitamina para imunidade baixa,Informational,2400,"0.67,0.80,1.00,0.80,0.67,0.80,0.67,0.67,0.67,0.52,0.52,0.52",23,0.65,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",5680000
vitamina para imunidade infantil,Informational,2400,"0.44,0.66,1.00,0.53,0.44,0.44,0.44,0.35,0.35,0.24,0.24,0.35",16,1.09,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",
vitamina infantil para aumentar a imunidade,Informational,1900,"1.00,1.00,1.00,0.80,0.66,0.66,0.66,0.66,0.66,0.41,0.41,0.55",15,1.04,1.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",1570000
melhor vitamina infantil para aumentar a imunidade,Informational,1600,"0.55,0.65,1.00,0.83,0.55,0.65,0.55,0.45,0.34,0.20,0.25,0.30",21,1.04,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",191
melhor vitamina para aumentar a imunidade,Commercial,1600,"0.85,0.85,1.00,0.85,0.85,1.00,1.00,0.52,0.68,0.46,0.37,0.46",20,0.60,1.00,"Sitelinks, AI Overview, Video, Related searches",204
vitamina infantil para imunidade,Informational,1600,"0.67,1.00,1.00,0.79,0.67,0.79,0.67,0.67,0.67,0.54,0.41,0.54",20,0.99,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",6160000
melhor vitamina para imunidade,Commercial,1000,"0.62,0.55,0.81,1.00,0.81,0.81,0.62,0.55,0.44,0.37,0.44,0.37",20,0.80,1.00,"Sitelinks, AI Overview, Video, Short videos, Related searches",202
vitamina para baixa imunidade,Informational,1000,"0.30,0.47,0.67,0.67,0.30,0.84,0.51,1.00,0.47,0.30,0.30,0.84",16,0.65,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",5900000
vitamina para aumentar a imunidade feminina,Informational,880,"1.00,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.71,0.60,0.71,0.71",21,0.75,1.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",564000
vitamina para aumentar imunidade,Informational,880,"0.36,0.45,1.00,0.62,0.55,0.62,0.45,0.36,0.45,0.30,0.24,0.30",15,0.75,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",195
vitaminas para baixa imunidade,Informational,880,"0.67,1.00,1.00,0.37,0.07,0.37,0.30,0.23,0.23,0.12,0.30,0.23",22,0.65,1.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",4520000
qual a melhor vitamina para aumentar a imunidade,Informational,720,"0.74,0.74,1.00,0.89,0.89,1.00,0.74,0.59,0.48,0.30,0.37,0.37",16,0.70,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",9400000
vitamina boa para imunidade,Informational,720,"0.44,0.56,1.00,0.68,0.68,0.68,0.56,0.56,0.44,0.44,0.44,0.44",18,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",209
vitamina para aumentar a imunidade infantil,Informational,720,"0.56,0.56,1.00,0.75,0.56,0.56,0.56,0.67,0.56,0.44,0.44,0.36",12,0.99,1.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",4400000
vitamina para imunidade baixa adulto,Informational,720,"0.72,0.72,0.72,1.00,1.00,0.88,0.88,0.59,0.48,0.39,0.39,0.39",27,0.60,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",1770000
melhor vitamina c para imunidade,Informational,590,"0.82,0.82,1.00,1.00,0.82,0.82,0.67,0.54,0.30,0.24,0.36,0.36",29,0.45,1.00,"Featured snippet, Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches",9990000
qual a melhor vitamina d para aumentar a imunidade,Commercial,590,"1.00,0.82,1.00,0.82,0.82,0.82,0.65,0.44,0.29,0.24,0.29,0.24",16,0.60,1.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",201
vitaminas para aumentar a imunidade infantil,Informational,590,"0.60,0.71,1.00,0.88,0.60,0.60,0.60,0.60,0.60,0.31,0.38,0.38",19,0.99,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",3710000
